"frequency";"r S[6,6]";"i S[6,6]"
1.0969e+09;-0.415608;0.884711
1.0982e+09;-0.413165;0.885743
1.0995e+09;-0.410706;0.886782
1.1008e+09;-0.40824;0.88781
1.1021e+09;-0.405759;0.888837
1.1034e+09;-0.403265;0.889863
1.1047e+09;-0.400763;0.890888
1.10601e+09;-0.398238;0.891907
1.10731e+09;-0.395715;0.892937
1.10861e+09;-0.393178;0.893954
1.10991e+09;-0.39061;0.894967
1.11121e+09;-0.38803;0.895974
1.11251e+09;-0.385439;0.896977
1.11381e+09;-0.382838;0.897961
1.11512e+09;-0.380223;0.898937
1.11642e+09;-0.377589;0.899926
1.11772e+09;-0.374947;0.900924
1.11902e+09;-0.372285;0.901893
1.12032e+09;-0.369624;0.902878
1.12162e+09;-0.36693;0.903846
1.12292e+09;-0.364228;0.904809
1.12422e+09;-0.361498;0.905774
1.12553e+09;-0.358767;0.906728
1.12683e+09;-0.356017;0.907685
1.12813e+09;-0.353241;0.908634
1.12943e+09;-0.350481;0.909567
1.13073e+09;-0.347669;0.910503
1.13203e+09;-0.344864;0.91142
1.13333e+09;-0.342013;0.912337
1.13463e+09;-0.339171;0.913277
1.13594e+09;-0.336313;0.914169
1.13724e+09;-0.333432;0.915078
1.13854e+09;-0.33051;0.915993
1.13984e+09;-0.327609;0.916888
1.14114e+09;-0.324689;0.917784
1.14244e+09;-0.321731;0.918669
1.14374e+09;-0.318776;0.919546
1.14505e+09;-0.315779;0.920418
1.14635e+09;-0.312779;0.921275
1.14765e+09;-0.309746;0.922132
1.14895e+09;-0.306696;0.922983
1.15025e+09;-0.303652;0.923814
1.15155e+09;-0.300559;0.924637
1.15285e+09;-0.297479;0.925472
1.15415e+09;-0.294346;0.926302
1.15546e+09;-0.29122;0.927127
1.15676e+09;-0.288062;0.927922
1.15806e+09;-0.284881;0.9287
1.15936e+09;-0.28166;0.929509
1.16066e+09;-0.278447;0.9303
1.16196e+09;-0.275204;0.93107
1.16326e+09;-0.271949;0.931831
1.16456e+09;-0.268653;0.932567
1.16587e+09;-0.265353;0.933314
1.16717e+09;-0.262019;0.934042
1.16847e+09;-0.258683;0.934757
1.16977e+09;-0.255291;0.935489
1.17107e+09;-0.251898;0.936208
1.17237e+09;-0.248473;0.936891
1.17367e+09;-0.24502;0.937584
1.17497e+09;-0.241529;0.938262
1.17628e+09;-0.238034;0.938928
1.17758e+09;-0.23452;0.939589
1.17888e+09;-0.23095;0.940197
1.18018e+09;-0.22739;0.940842
1.18148e+09;-0.223794;0.941435
1.18278e+09;-0.220184;0.942047
1.18408e+09;-0.216509;0.942643
1.18539e+09;-0.21286;0.943186
1.18669e+09;-0.209147;0.943763
1.18799e+09;-0.205411;0.944318
